Year,Model ,Review
2014,Honda,"Honda Ballade 150i 16v: The car really rides very comfortably, although the steering has started creaking a bit. It has a powerful feel to it for a 1990 150 16v. The fuel consumption is very light."
2014,Honda,"A CUV built to a very specific taste. It makes every trip feel more adventurous, but never luxurious."
2015,Honda,"The CR-V isn't the most fun to drive, most efficient, or most feature-rich car in its segment, but very few five-seat crossovers do as many things as well as this Honda. It's not perfect, but even in the second half of its life, the CR-V is worth considering for most buyers."
2015,Honda,"Honda Accord EX-L 4:  Nothing major has gone wrong, other than the fact that it burns a LOT of oil. Be careful if you're looming to buy a Honda. This model, as well as many others, has serious problems with burning oil. For those that don't know, burning oil is akin to heart disease and needing a quadruple bypass. Your engine does not get the lubrication it needs, and friction wears it out extremely quickly, necessitating the replacement of the engine."
2016,Honda,"2016 Honda Civic S 1.4 : The interior of the car is a very nice and comfortable. The driver's seat has good lumbar and lateral support, plenty of legroom and the steering wheel has a good range of height and reach. The quality of the cabin materials and fit and finish is of a high standard and everything is where you would expect it to be. The downside of the cabin is that the car sits very low; I'm 6' 1"" (185 cm) and have a bad back. Every time I got into the car, I felt the strain, particularly if I was in a car park and could not open the door all the way and so had to twist as well as lower myself. That was very uncomfortable. It hurt! Another annoyance is that there are no cup holders. There are sort of pseudo cup holders in the door map pockets, but they are awkwardly placed down low and under the arm rests, and don't really securely fit your drinks anyway.                                                                                         Overall, except for the visibility issues, it's a good city car that can fit plenty of junk, but with the 1.4 engine, it's not exactly the best highway cruiser, though it is very comfortable to sit and ride in"
2016,Honda,"Our Honda's Pilot is smooth, cushy, and powerful, but the tranny continues to suffer at low speeds,"" he proclaimed. ""Indecisive gear hunting along with getting caught in the wrong gear is its biggest problem"
2017,Honda,"Honda HR-V GH1 1.6: Fell in love with this when I got a 98 one, has been the most comfortable car I've owned. The rest weren't great though, and the engine is so quiet when driving, I sometimes wasn't sure it was still on. It has served as a mini stealth camper several times, and the dogs love the height for looking out over the landscape; feels very safe to drive."
2017,Honda,"The Honda's angular interior is architectural, only let down by its frustrating infotainment screen (continuing our strident complaints about other Honda vehicles' user interfaces).The Clarity's better design, extra range, sportier handling, and five seats give it the edge."
2018,Honda,"Honda CR-V : Water pump seized, left us stranded on the highway. Dealer took 7 days to fix the problem, leaving us stranded out of town. It is a decent car, but the reliability is questionable."
2018,Honda,"Honda's engineers went to work upgrading the suspension, steering, chassis bracing, and sound deadening to make driving its least expensive car a more refined experience"
2019,Honda,The 2019 Honda Insight marks the return of a dedicated hybrid vehicle in the Japanese automaker's lineup. Touring trim has lower fuel economy rating
2009,Hyundai,"Good, Not Great: Elantra Still Squarely on the Value Side of the Hyundai Ledger"
2009,Hyundai,2009 Hyundai Sonata: Very poor gas mileage - below sticker minimum; service manager says this is normal for Hyundai due to ethanol in all gas - so much for the warranty and federal disclosures!  Car is uncomfortable and heat/air controls unreadable without causing an accident. No miles per gallon indicator. Gas door is cheap plastic and almost came off when I first opened it.
2010,Hyundai,"Hyundai Sonata Limited 2.4 : Well this car is one great family mid-sized sedan, although it feels like a large car.The car has great gas mileage! Although the engine had to be broken in for long period of time, if I drive gently, I get about 6.8L per 100km in the city. That's something for a car this size.The seats are comfy, and the Infinity sound system is just AMAZING, however the suspension is a bit soft for me.All the features on the car work well. The car stops great, and drives marvelously without hassle.Great ride for your buck, although I'd suggest you wait to get a 2011 Sonata. Love that design; more sporty, but however if you like a conservative looking car, this is the car for you."
2010,Hyundai,"One of the most incendiary newcomers is surely the 2011 Hyundai Sonata, resplendent in swoopy four-door-coupe styling and powered by a state-of-the-art direct-injected 2.4-liter engine and six-speed automatic transmission, boasting best-in-class weight-to-power"
2011,Hyundai,"Hyundai Sonata GL 2.4: Nice looking car, comes with heated seats, keyless entry and remote trunk release, nice sound system, good looking interior, spacious, aux outlet, USB connection, 2 12V outlets.Paid 15000 with taxes and everything. Bought it used with 52000kms. It now has 70000, but with the problems I had, I do not think it will last. A lot of rattles coming from the suspension. Nice interior and good quality, but mechanically still needs work.Went today and bought a 2009 Camry. Toyota's quality has dropped, but it is still better than Hyundai's."
2011,Hyundai,"The Santa Fe feels like it's from the old Hyundai, not the new. Visually, the Santa Fe enjoys a few aesthetic tweaks that move it in the right direction, including a new grille, a re-jiggered lower fascia, and refashioned taillights"
2012,Hyundai,2012 Hyundai Santa Fe: The driver's seat takes the prize as the most uncomfortable seat on the planet.
2012,Hyundai,"the Hyundai Accent comes in four-door sedan and hatchback bodystyles. The Accent hatchback is the more expensive version. Four-wheel disc brakes come standard, and Hyundai says they're a class exclusive, as is a sliding armrest in the narrow space between the front seats, and a split fold-down rear seat."
2013,Hyundai," Hyundai Santa Fe Sport: The oil sensor light started intermittently turning off and on, first when the brakes were applied, then it flashed off and on when on a rough road. It would go off for various lengths of time when the ignition was turned off and the vehicle was restarted. Finally it stayed on.

I checked the oil several times, and it was at the full mark. When the light came on permanently, I again checked the oil and it didn't register on the dip-stick. I added oil and then checked to see if I could see any sign of oil in the snow. The oil was running out. I assumed an oil plug leak or a improperly installed filter was leaking. When I took it to the dealer, they informed me that it was a TYPICAL Sante Fe problem; the oil pressure sensor had failed and then started leaking. I have talked to several Sante Fe owners since then, and they had already experienced the same problem. I am now concerned that damage has been done to the motor, even though I watched and never saw the temperature gauge go up. Dealers have been notified that this problem exists, but owners are not notified of this COMMON problem."
2013,Hyundai,"Hyundai Builds a Warm Hatch. While the Elantra sedan is a very good compact, it's not particularly sporty.  The GTis the performance model, hot-hatch style. Hyundai has also added its Driver Selectable Steering Mode, which lets you choose between three settings that vary power assistance levels, on-center feel, and feedback in turns."
2014,Hyundai,"A reliable, inexpensive, reasonably fun coupe - not a sports car at all, but otherwise a solid car! The exterior is the real selling point of this car - it is definitely a looker, and in my opinion the 07-08 FL/2 body style is the strongest design of the GK models from 2003 on, before the car was discontinued. The GT wheels, dual exhausts, revamped headlights and taillights, etc. all look great and flow very well. The car attracted a lot of attention, and I would get questions about it constantly since they aren't especially common, at least around here."
2014,Hyundai,"The 2014 Hyundai Sonata 2.0T is a rolling rationalization for image-conscious consumers reluctantly shopping for a midsize sedan. It is powered by a turbocharged 2.0-liter I-4 that's supposed to provide the power of a V-6 but with better fuel economy. However,  is not the most rewarding car to drive in its class, nor is it the quickest."
2015,Hyundai,"2015 Hyundai Sonata Limited 2.4: The seats have a beautiful leather, and are heated front & rear, and cooled in front.
The instruments are well laid out, simple to use, intuitive and have good quality buttons that feel pleasant to the touch.The interior has enough legroom in front for drivers under 6' tall. The roof is quite low, and anyone over 6'1"" will have his head hitting the roof handle. Good legroom in the rear, and it's easy entry. "
2015,Hyundai,"The competent 2015 Sonata 2.4 isn't a dynamically class-leading package, but at least it's not saddled with the expectations that come with the 245-hp 2.0T model's available Sport trim"
2016,Hyundai,"Hyundai XG350: Very reliable up to ~130k miles, then started to fall apart. It was my first car and I got it very cheaply so I am very happy with it overall. Airbag light came on ~100k miles and stayed on since then.
Interior is luxurious and spacious, but a bit behind its time. I think they tried to copy Lexus / Infiniti from late 90s. Factory speakers are great. A modern bluetooth capable system is an excellent and cheap (<$100) upgrade that makes the sound equivalent to modern cars. Drivetrain is very reliable and could probably run for another 100k miles easily.
Fairly cheap to maintain (regular grade gas and oil) until components need replacing. There are not many third party parts available for this car and the OEM parts are very expensive.
Ride quality is very boaty, with vague steering, soft suspension, and WIDE turning radius. Power is sufficient for good acceleration."
2016,Hyundai,"Enter the 2016 Hyundai Elantra Value Edition that offers just enough to give the model a more upscale feel, but the driving characteristics leave us wanting more."
2017,Hyundai,"2017 Hyundai Elantra GLS: Only beware of dramatic drop in price - Depreciation - Even Hyundai doesn’t want your car if you decide to change cars!
They are as expensive as Honda/Toyota... only when they’re new. Once you drive it off the lot, it will depreciate like no other car & good luck trading it in!
I learned the hard way that buying these cars means the most significant depreciation on the market as opposed to Honda/Toyota (that’s who they compete against the most!)...
My 2 cents... Otherwise I liked the car."
2017,Hyundai,Hyundai Elantra : A Fun Little Gem Hiding in Plain Sight. The 2017 Elantra Sport aims to put Hyundai in the sporty compact car conversation with a dose of turbocharged power and a totally overhauled suspension.
2018,Hyundai,"2018 Hyundai Elantra SEL 2.0L : Overall, I'm very impressed and satisfied with my new Elantra. It's a beautiful car inside and out. It feels solidly built and the interior fit and finish are top-notch for this class of car. I've heard professional auto critics say it feels ""a class above"". To me, it feels like a small luxury car. The looks, the comfort, the refinement, the features. It's all there to me. Plus, I've averaged just above 40 MPG in mostly city driving, according to the trip computer. Fantastic!
The car is too new to comment on reliability or running costs, but based on online consumer reviews and maintenance intervals in the owner's manual, I expect it will hold up well over time and be very affordable to run."
2018,Hyundai,"New for the 2018 model year, the Hyundai Elantra GT joins the growing compact hatchback segment and is pitched as a crossover alternative that's more fun to drive. Like most Hyundais, the Elantra GT is packed with plenty of tech features to keep you connected on the road."
2019,Hyundai,"Hyundai Santa Fe Sport Premium : Very well screwed together and very quiet. It has a lot of standard features like heated steering wheel, heated mirrors, heated front and rear seats, rear vents for HVAC, nice tinting on the windows with integrated sunshades for the rear seats. Headlamp performance is excellent (projector halogen). It's very easy to do routine maintenance like changing bulbs, cabin air filter and the engine air filter, etc. Fuel economy is pretty much the same as my old car, but they are not in the same category or decade, so it's not a fair comparison. Engine is quiet and performs nicely. I have no complaints about engine performance. I can't believe the high quality Hyundai has today. I'm confident I have chosen the right car for our family."
2009,GMC,GMC Yukon 2 : Big technology in a Big SUV may not be enough
2009,GMC,"GMC Yukon Denali XL 5.7 V8:  When we got this one, we were very, very pleased with the purchase. It's a bit cheaper in price than the similarly equipped Escalade.  We really love the fact that it's very roomy and the seats are couch like comfy. Even our kids love it, too. It's great in the snow, and perfect for family pleasure trips. And it's powerful, too! We have no plans on getting rid of it anytime soon. So if you are thinking about buying one of these, but don't want want to pay the price of what a similarly equipped Escalade charges, look no further."
2010,GMC,"GMC Yukon 6.0 :  Just had an oxygen sensor go out in the back. I would strongly recommend this to anyone, as there is no comparison in ride. We love traveling in it, and kids are comfortable and relaxed as they are watching their DVD. Changed oil every 3,500, and still running strong at 168000. I use it to pull my boat, which is around 4,500 lbs, and pulled it through mountains in TN and NC with no problem. I love it, and will buy another one when the time comes."
2010,GMC,GMC Yukon XL 5.3 : I like my Yukon. I would love to get a newer one. The truck always starts and runs great for me. It is a comfortable truck. The truck has lots of power for every thing I have pulled with it.
2011,GMC,"We tested a 2011 GMC Savana 3500, a vehicle that is mechanically identical to the 2012 model, and, because it's the 3500-series, we had the chance to try out the optional Duramax diesel. There is still plenty of capability here after all these years: it can tow 10,000 pounds, has a payload capacity of 4187 pounds, and has a 9600-pound Gross Vehicle Weight Rating.       The interior is pretty sparse, as you would expect in a cargo van, but considering its $44,620 as-tested price tag, we would've expected more equipment for the money. It did come with power locks (but there was no key fob control of them) and windows, tilt wheel and cruise control, glass on the passenger side and on the rear cargo doors, disc brakes, heavy-duty tow option, and a locking rear diff. However, there are no tie-down hooks on the cargo floor -- the van has a spacious 284.4-cubic-foot cargo volume, but no way to secure goods to the floor. There aren't power mirrors or a glove box, and that price doesn't include fancy leather seats."
2011,GMC,"GMC 1/2 Ton 5.7: The truck has lots of power, and good towing capacity. I travel a lot for work, and the truck handles great on the highway. The interior is roomy and relaxing to travel in, the truck has great heat for the cold times, but it blows warm air all the time.
Besides the little stuff, the truck is not nickel and dimeing me to death, and I have got my money's worth out of this truck, and would gladly pass it on for someone else to enjoy when I am ready for a new one."
2012,GMC,"GMC Jimmy 4.3 litre: VERY reliable vehicle. 4x4 works amazing!! I use it on wheeling trails all the time in deep snowfall too. Drives easy in about 2-3 feet of soft powder snow.
Great interior - still no rips at all. Good gas mileage - has very great power, and is the most reliable truck I've ever had. I am very happy with this truck!"
2012,GMC,"GMC Jimmy Sierra Classic 5.7 liter : I got a really straight body with no wrinkles, dings, dents, or scrapes. Really solid. The engine is a replacement with only 3,000 miles on it, and it is super strong! Transmission works impeccably, with no leaks. No cracks, spots, or dings in any of the glass. The rear glass does not roll all the way down, so the back door does not open. I think it's a really minor problem.The interior has been very well taken care of. Not but one little tear in the driver's seat, and it has been hand-sewn shut. The blue carpet has faded into grey, except where the original floor mats have covered it, and it is royal blue underneath. The four-wheel drive is tight, and the transfer case has no leaks around it anyplace. Need to be careful, as with any high ground clearance, but it doesn't feel unsafe."
2013,GMC,"GMC 1/2 Ton 6.0 : I can't repair a motor that was never supposed to work. They no longer make it and parts are not available... even thru the dealer. The 6.0 Vortec max was junk from the get go, and I cannot even find one used. This is what I bought? What am I to do... I use it for work, and for now I'm walking."
2013,GMC,"GMC 1/2 Ton 6.0: I can't repair a motor that was never supposed to work. They no longer make it and parts are not available... even thru the dealer. The 6.0 Vortec max was junk from the get go, and I cannot even find one used. This is what I bought? What am I to do... I use it for work, and for now I'm walking."
2014,GMC,"GMC Yukon Denali 6.0L: Beautiful truck with power and speed, let down by some very serious quality issues. I do love the looks, ride, and power that the GMC delivers, but not at the price of frequent dealership visits.I will miss this car, but my wallet will not. The last owner sold it at a good price and I was forced to do the same just to get rid of it."
2014,GMC,"I am not a fan of GM vehicles and never have been. However, the Yukon has been a great vehicle. Most of the issues that we have had with it have been of the normal wear and tear variety. Plenty of power, the AWD is great in the snow and ice, tires last a long time, and it's comfortable. Basic maintenance items (fluids, brakes, filters, lights) are very easy to get to. Rear seats are reasonably easy to fold down and/or remove."
2015,GMC,"The 2015 GMC Yukon and Yukon XL are refined and economical than ever, while retaining the utility they've become known for."
2015,GMC,"GMC Envoy SLT 4.2L l6: Interior is falling apart (center console lid was never correctly put on, driver's seat control panel is falling off, and radio labels are peeling off). Rear hatch window is rusted, will not stay open. Can be replaced easily, but not really worth it. Under body is very rusty (this is due to the salt, being in a northern state, so not really controllable). Rear speakers have shorted out (common problem for 2003 Envoys, GM needs to recall this). In the cold weather, the car has had a cylinder misfire ($500 repair)."
2016,GMC,"2016 GMC Terrain Denali: More style, luxury, and features for top model. The updates to the 2016 GMC Terrain are largely focused on cosmetics and more technological options, and we got a well-equipped Denali model in for testing."
2016,GMC,"It's a great, reliable car that I feel safe driving. Mine needs body work because I've got that Chevy rust thing going on along the bottom and rear quarter panels. It's my fault it's so rusty because I wasn't diligent with washing it more often and waxing especially because of the road salt/NJ winters. It's very comfortable to drive and it's so reliable. The car has a lot of integrity and it still pulls my extremely heavy all steel horse trailer with my 2 huge horses with no problems.
I'm shocked that Landcruiser got first place on this site. I had one before my Yukon XL and I love my Yukon much more. Landcruiser towed the horse trailer horribly even with modified (Tambren) suspension and a weight distribution system. You can't tell you're pulling the trailer in the Yukon. With the Landcruiser it was such a strain I actually felt like I was going to blow the engine towing with the Landcruiser. The Landcruiser was a much stiffer ride than the Yukon and the Yukon is much more luxurious feeling all around, from seats to steering to suspension and pick up speed."
2017,GMC,The 2017 GMC Acadia rides on a 112.5-inch-long wheelbase and is 193.6 inches long overall.The Acadia's sizable weight savings was also made possible through use of more high-strength steel throughout the platform. Crash safety has improved thanks to new splayed front frame rails that flare outward during small overlap frontal crashes.
2017,GMC,"2017 GMC Acadia : All in all, GMC has met its target of creating a smaller, more nimble, more refined, and softer-looking crossover with the 2017 Acadia. There is no reason to think this model won't outsell its larger predecessor."
2018,GMC,"Key upgrade is the 2018 Yukon Denali becomes one of the first SUVs in the GM stable to get the new 10-speed automatic transmission paired to its 6.2-liter V-8 engine that produces 420 hp and 460 lb.-ft. of torque to propel a vehicle weighing almost 6,000 pounds. Lower trim levels have the 5.3-liter V-8 with a six-speed transmission. The previous Yukon Denali with the 6.2-liter engine had an eight-speed."
2018,GMC,"GMC has never positioned the Terrain as a major volume player, instead preferring to compete in the premium category. Although not a top-seller, the Terrain doesn't hide in the background, at least not this time around. The 2018 GMC Terrain differentiates itself from others with atypical styling, an available diesel engine, and a wide range of model personalities and prices. The Terrain is a fish out of water in the compact crossover segment. But at the end of the day, only its merits will make the difference. We left the Terrain feeling satisfied, though further tests will shed more light on its strengths and weaknesses."
2019,GMC,"One look at the 2019 GMC Yukon Graphite Performance Edition, and you'll immediately notice its imposing presence. Even blacked out, it's hard to miss this hulking boulevardier thanks to its size and commanding looks. With a new generation of General Motors' full-size, body-on-frame SUVs on the way, we're taking one last look at the GMC Yukon to see whether it remains competitive against its key competitors."
2009,Ford,"Ford Fiesta Zectec : Never had a car with low profile tires and lowered suspension before, and the first few days of having it I thought that something was wrong, as it felt very rough on some roads, but talking to friends they said it's normal, and it's just the bad roads in Cornwall. Take it on a proper tarmac road and the handling is better than my brother's Golf GTI. Never once has it under or over steered or got out of shape, but I backed off as I was to chicken to push it any harder LOL. Acceleration is good, but it really kicks in in 3rd gear at about 4000 revs, where you feel the car just surge forward. Brakes are perfect; went onto a quite road and did an emergency stop to see if I could feel the ABS working, not a thing!!! The car didn't even skid and I never felt the ABS working, but I knew it was as the light came on the dashboard. The interior is good, really comfortable with the racing seats, and the stereo/phone controls are all voice activated, so no need for looking across at buttons. The speakers in the car are very good; my last car I fully kitted out with subs and speakers with the intention of doing the same to the fiesta. There is no need unless you want to spend £1000 on your sound system; don't bother because you won't beat the quality you already have."
2009,Ford,Ford Fusion SEL: It feels like a 4 door Mustang for driving. I wish there was a manual transmission for the V6. Microsoft Sync is great. I want to always have this in my vehicles. It will definitely influence my future purchases.
2010,Ford,"Ford Escape XLT 2.5: Well equipped SUV for the price, and optional Microsoft based SYNC system was great. Heated leather seats, sunroof, keyless entry, alloy wheels etc, though to me as a European, it made no sense whatsoever to have all that expensive kit on it and put brake drums on the rear. I haven't seen a new car with brake drums in Europe for 15-20 years, yet here in N. America they're still used. WHY??? Luckily for me, the Escape was a company vehicle so repairs didn't cost be a bean, but I would have been extremely unhappy to have to replace the worn out tie bars & anti sway bars etc after such a short distance, and Ford refused to cover them under warranty."
2010,Ford,"Ford Escape XLT: The ride is a bit more bumpy than my Pontiac, but that's expected given it's an SUV.Transmission is very short in 1st and 2nd gear. I'll be in 3rd by the time I hit 25mph. Normal for a truck or SUV though.Engine is said to be noisy... compared to a sedan or high end SUV, yes it is. But compared to other trucks or SUVs, it's no different. Doesn't bother me at all.Acceleration is quick with the V6 and 240hp.Radio does seem to have problems maintaining reception when going under bridges or into a valley. It comes back after a few seconds though.Seats are comfortable and the interior is roomy.Interior materials are not high quality, even a little below average quality, but not the worst I've seen.
Rear seats are NOT difficult to fold down. It's 3 motions; take out head rest, lift base of seat, fold the backrest down. That's it. Don't let comments that it's complicated fool you.
The 4x4 feature is intelligent, meaning you can't activate it. It will kick in if the front wheels slip."
2011,Ford,"Ford Escape Limited : This was a rental car for about 3 weeks.Roomy interior, seats are comfortable.Excellent engine power (and noise), the transmission works excellent and the car is surprisingly quick and fun to accelerate. Very good driving position and visibility. Handles fine with somehow a European feeling, impressive for a car this size. The steering is slow to turn. Good brakes. Very bumpy ride over potholes. Otherwise the ride is very smooth and comfortable."
2011,Ford," Ford Fiesta Titanium: Compared to my previous car (a '99 Vauxhall Corsa), this car is a dream to drive. The 1.6 petrol engine is very nippy, especially around 4000 rpm. My average MPG has been around 45, which I believe isn't too bad for a 1.6 petrol engine. The interior has a very modern design, and the comfort is second to none for someone of average height like myself (5'10""). The stereo system is of greater than average quality, and sounds great with a few equaliser adjustments. There is a slightly louder than normal tyre noise when travelling at speed, but around 30 you can barely hear anything."
2012,Ford,"Ford Fusion SEL Flex Fuel : Overall, this car is a great car, that really surprised me at how well it did on fuel economy and ride. The ride is fairly smooth and well controlled. The trunk is big, and the interior cabin room is good."
2012,Ford,"Ford Fiesta SE Sedan: The new Ford Fiesta is a beautiful car. It has the new Microsoft Sync built-in, so that you can connect your phone with Bluetooth to receive and make calls. The system is able to dial numbers with your phone through voice activation. There is also a number pad on the dash that can be used to dial numbers as well. I am averaging about 28.7 MPG in the city where I live, but Ford says it can get up to about 39 on the highway. They also told me that some people have reported averaging around 43 MPG, but it is dependent on how you drive. The seats are very comfortable, and the interior is surprisingly spacious for such a small car. From the outside, the trunk also looks very small, but when it is open, you can see that the trunk is actually very deep and spacious as well.The car is slightly jerky when I push on the gas sometimes (not often), but I attribute this to still not being fully accustomed to the new engine compared to my old car (which had transmission slip).The dashboard and steering wheel are accented with red lighting (may or may not vary with other Fiestas) that looks very sharp.

"
2013,Ford,"Ford Fiesta SE : Took it in for trans. issues at 700 miles. Was told it was normal to bang, slip and smell until it's broken in at 1k miles. Now they say it needs a new clutch and there are none to be had anywhere on a waiting list. Don't stop on a hill, because when you try to take off, the RPM goes up, but you roll backwards! My daughter's first new car, and needless to say it will probably be her last Ford!"
2013,Ford,"For those looking to get acquainted with Ford's big sedan, 2013 is the first year of the sixth-gen's mid-cycle refresh. A lot changed after three years. To help mitigate the interior volume concerns, the cabin is decked out with nicer materials; a substantially less cluttered center stack; three-spoke steering wheel; and an eye-catching gauge cluster with crisp, configurable digital screens"
2014,Ford,"Ford Escape XLT 4 : The Ford Escape is a superior product, in my view, to our former vehicle, which burdened us relentlessly with intense frustration and far too many warranty repairs on chronic transmission defects: gears, shifts, gearbox, clutch and manual transmission and more.The Escape is highly reliable, strong, stylish, and its model label ""Escape"" delivers - you can escape the concrete jungle to take it anywhere in confidence and reliability. You can use this vehicle for a variety of purposes, and we love the better glass visibility and height all around compared to the poor visibility in a lower framed car, the Patriot. The Escape will always be a favorite SUV in my family, and in particular, ours allowed us to ""escape"" the outrageous chronic problems of our former substandard nightmare, the 2008 Jeep Patriot. I regret not buying a Ford when we bought the Jeep. Ford respects its customers... no comment about the other company, but you can read between the lines."
2014,Ford,You get a gem of an engine with the Ford Fiesta SFE EcoBoost. The rest of the car isn't bad either.
2015,Ford,"Great SUV if you don't need something too big, but like the ""utility"" of a sport utility. It handles and accelerates nicely, and is even a bit fun to drive.
The interior seems to be well made, with no squeaks or rattles. The only thing I would change is something many other newer cars are just as guilty of: hard plastic surfaces instead of padded. It's the only thing about the vehicle that makes it seem cheap.
Other than that, it's wonderfully styled, inside and out. It seems to have a lot of nice features for a car in its class, as well."
2015,Ford,"Ford has entered a quick growing segment in the cargo/passenger van/wagon market and has done it the right way. It offers a massive variety of configurations to fit any need its customers might have, from a comfort-friendly passenger vehicle to heavy-duty work vehicle and everything in between. What Ford has done with the 2015 Transit will not go unnoticed by its competition, and for very good reason."
2016,Ford,"Ford Escape XLT 3.0: It's been a great little SUV. It's just the right size, and gets decent MPG. It drives nicely and even feels a little sporty. The stereo (mine has a factory subwoofer) isn't bad. It's the only factory stereo I haven't upgraded in a vehicle I've owned. Lots of storage in the center console, and comfortable on longer trips, too.
Could use some rear legroom, though. And the cloth seats stain easily if they get wet, even with just water. A carpet cleaner with an upholstery attachment works great to solve that. So do cheap seat covers.
I don't have any major complaints, and have only had to do routine maintenance to it."
2016,Ford,"Had owned a '05 Ford Escape XLT with 4WD in upstate NY for 220k miles over 8 years. Only issues were the front brake rotors would warp every 60k - 75k miles and the alternator died at 175k miles and the A/C died at 200k miles. Also, tin worm was coming to the surface due to heavy use of road salt in NY. Based on the above experience and since 2012 was last year for the six cylinder engine, I bought a used '12 Escape Limited V6 front wheel drive with 30k miles. The car is comfortable, and quieter than my older Escape. Also, fuel economy is 24 to 25 MPG versus 21 MPG on the '05 4WD model. However, I find the new car is less fun to drive. The old Escape had feedback via the steering wheel whereas the steering on the new car is numb and void. The new car rides so smoothly compared to the old car that I feel isolated from the road. The new car has morphed into mini LTD whereas the old Escape was a true mud slinging CUV."
2017,Ford,"Ford Explorer Base: Just way too big. We got the car for my wife. She is happy with it, but finds it cumbersome to drive. I cannot drive it because the interior is too big for me to comfortably rest my arm on the door sill or arm rests. Arm fatigue sets in for me after only a few miles. Very poor design for driving comfort. The build quality is great, as it is with all Ford products. Fit and finish are top-notch. The interior is well appointed and controls are conveniently located. The third row seat are useless and waste space needlessly. They should be an option, not standard. We didn't want them. The engine is smooth, quiet and responsive. Power is adequate. The automatic transmission shifts very smoothly. Fuel economy is awful. We are averaging only 19 miles per gallon. The handling is good for a big bulky and top-heavy vehicle. Overall the car is excellent for my wife. I greatly preferred our smaller Ford Escape turbo, but for an older woman who doesn't care for sporty performance, the Explorer is a good choice. As always we test drove other brands for a comparison, but as always nothing else comes close to Ford in overall quality."
2017,Ford,"Ford Explorer Base: The engine has an internal water pump and people on the Explorer forum have had them go out. This is a very expensive repair due to the labor involved. If you keep your Explorer for a long time, it would be a good idea to extend the warranty. 2000 dollars for a water pump replacement is too much. Also if it takes out the engine, it goes up to almost 8 grand. Keep us updated as time and mileage accumulate."
2018,Ford,Ford Escape XLT 3.0: Really like it and would buy another in a second if Ford still offered it with the V6. The gas mileage is great - regularly gets 36 MPG (Imperial) 30 MPG (US) on the highway. Reliability has been fantastic.
2018,Ford,"2018 Ford Expedition Max: Maximizing comfort, tech, safety, and of course, room. The redesigned 2018 Ford Expedition has impressed us in many ways. In a five-way full-size SUV comparison, the Expedition walked away with the victory. ""Spacious, smart, comfortable, quick, and efficient, the Expedition does it all well,"" we concluded. ""On-road, off-road, towing, you name it—this is the best in class."""
